time="2026-09-14T18:55:08.083735606Z" level=debug msg="Registering route" method=POST path=/commit
time="2026-09-14T18:55:08.083763600Z" level=debug msg="Registering route" method=PUT path="/containers/{name:.*}/archive"
time="2026-09-14T18:55:08.083799965Z" level=debug msg="Registering route" method=DELETE path="/containers/{name:.*}"
time="2026-09-14T18:55:08.083833098Z" level=debug msg="Registering route" method=GET path=/images/json
time="2026-09-14T18:55:08.083856742Z" level=debug msg="Registering route" method=GET path=/images/search
time="2026-09-14T18:55:08.083880861Z" level=debug msg="Registering route" method=GET path=/images/get
time="2026-09-14T18:55:08.083899798Z" level=debug msg="Registering route" method=GET path="/images/{name:.*}/get"
time="2026-09-14T18:55:08.083942608Z" level=debug msg="Registering route" method=GET path="/images/{name:.*}/history"
time="2026-09-14T18:55:08.083977203Z" level=debug msg="Registering route" method=GET path="/images/{name:.*}/json"
time="2026-09-14T18:55:08.084008533Z" level=debug msg="Registering route" method=POST path=/images/load
time="2026-09-14T18:55:08.084025055Z" level=debug msg="Registering route" method=POST path=/images/create
time="2026-09-14T18:55:08.084054324Z" level=debug msg="Registering route" method=POST path="/images/{name:.*}/push"
time="2026-09-14T18:55:08.084084088Z" level=debug msg="Registering route" method=POST path="/images/{name:.*}/tag"
time="2026-09-14T18:55:08.084112871Z" level=debug msg="Registering route" method=POST path=/images/prune
time="2026-09-14T18:55:08.084135438Z" level=debug msg="Registering route" method=DELETE path="/images/{name:.*}"
time="2026-09-14T18:55:08.084165127Z" level=debug msg="Registering route" method=OPTIONS path="/{anyroute:.*}"
time="2026-09-14T18:55:08.084198633Z" level=debug msg="Registering route" method=GET path=/_ping
time="2026-09-14T18:55:08.084221498Z" level=debug msg="Registering route" method=HEAD path=/_ping
time="2026-09-14T18:55:08.084240602Z" level=debug msg="Registering route" method=GET path=/events
time="2026-09-14T18:55:08.084256362Z" level=debug msg="Registering route" method=GET path=/info
time="2026-09-14T18:55:08.084270165Z" level=debug msg="Registering route" method=GET path=/version
